fit_seconds,rmse_train,rmse_test_shaped,rmse_test_true,nasa_score_true,n_train,n_test,n_features,pipeline
0.41484483999738586,15.620169534808193,13.120032680176331,13.120032680176331,24641.111284710445,26320,6270,96,A3_raw_memory/B2/C1_raw
0.42332199800148373,15.620169534808193,13.120032680176331,13.120032680176331,24641.111284710445,26320,6270,96,A3_raw_memory/B2/C2_fixed125
0.4829949459999625,15.5398593512215,13.68675302976567,15.36885076930131,33275.315581255345,26320,6270,96,A3_raw_memory/B2/C3_physical
0.2331758689979324,20.391715391451577,16.299148849348477,19.384532344303242,46686.22659432396,26320,6270,54,A3_raw_memory/B1/C3_physical
0.2051071089990728,22.490148958289705,19.897788672937036,19.897788672937036,52361.482024628924,26320,6270,54,A3_raw_memory/B1/C2_fixed125
0.20684480400086613,22.490148958289705,19.897788672937036,19.897788672937036,52361.482024628924,26320,6270,54,A3_raw_memory/B1/C1_raw
0.09013179799876525,16.825241952459837,22.774232287863864,29.69409258403413,4832.607029938194,446,202,90,A1_whole_cycle/B1/C3_physical
0.17717445599919301,18.60304070510687,23.996715830929173,31.085758182944794,5543.040485464806,446,202,160,A1_whole_cycle/B2/C3_physical
0.12606347899782122,22.253479396038585,31.77960129509454,31.77960129509454,5600.98249362137,446,202,90,A1_whole_cycle/B1/C2_fixed125
0.1271016509999754,22.253479396038585,31.77960129509454,31.77960129509454,5600.98249362137,446,202,90,A1_whole_cycle/B1/C1_raw
0.21620579799855477,23.809589386369467,33.07400495757116,33.07400495757116,6048.941348716177,446,202,160,A1_whole_cycle/B2/C2_fixed125
0.21568248299809056,23.809589386369467,33.07400495757116,33.07400495757116,6048.941348716177,446,202,160,A1_whole_cycle/B2/C1_raw
0.22819956300008926,22.245044620993554,27.716284346343294,34.784654316601355,9739.891320034174,446,202,270,A2_phase_split/B1/C3_physical
0.5514570860032109,43.42781754040686,39.06075491151478,39.06075491151478,7623.209014904896,446,202,480,A2_phase_split/B2/C1_raw
0.5649645630001032,43.42781754040686,39.06075491151478,39.06075491151478,7623.209014904896,446,202,480,A2_phase_split/B2/C2_fixed125
0.28318692699758685,34.05693159552768,42.87612297716992,42.87612297716992,11457247762.62271,446,202,270,A2_phase_split/B1/C1_raw
0.28772364699761965,34.05693159552768,42.87612297716992,42.87612297716992,11457247762.62271,446,202,270,A2_phase_split/B1/C2_fixed125
0.4778255650016945,37.52845843788042,39.10061122864723,45.38902664741467,191725875.2907629,446,202,480,A2_phase_split/B2/C3_physical
