source,instance,n,arm,gap_pct,seconds,q_arm_mean,detail
benchmark/small,berlin52,52,FIS deferred verification,0.0,0.001374693000343541,1.0059237791432494,
benchmark/large,berlin52,52,FIS deferred verification,0.0,0.002011976999710896,1.007694386146369,
benchmark/small,berlin52,52,FIS effort,0.0,0.001276899999993475,1.0044825042296526,
benchmark/large,berlin52,52,FIS effort,0.0,0.0018446079998284404,1.0052625047581623,
benchmark/small,berlin52,52,FIS effort+chain,0.0,0.0012244590002410405,1.007029461345093,
benchmark/large,berlin52,52,FIS effort+chain,0.0,0.0018589859996609448,1.0080664026511228,
benchmark/small,berlin52,52,FIS full (fuzzy construction),5.064969504110316,0.0011843259999295697,1.0182851645016107,
benchmark/large,berlin52,52,FIS full (fuzzy construction),5.064969504110316,0.001743399999668327,1.0132779122445035,
benchmark/small,berlin52,52,LK k32/d10/b32,0.0,0.0014631359999839333,1.0079053264240385,
benchmark/large,berlin52,52,LK k32/d10/b32,0.0,0.0019439259995124303,1.0078036414983984,
benchmark/small,berlin52,52,LK k32/d2/b4,0.0,0.0011506689997986541,1.003949071971721,
benchmark/large,berlin52,52,LK k32/d2/b4,0.0,0.0016360300000997086,1.0040697080289724,
benchmark/small,berlin52,52,LK k32/d3/b8,0.0,0.0012662210001508356,1.0047638345010088,
benchmark/large,berlin52,52,LK k32/d3/b8,0.0,0.0018835509995369648,1.0050733415359843,
benchmark/small,berlin52,52,LK k32/d6/b32,0.0,0.0012982670000383223,1.0035207428679007,
benchmark/large,berlin52,52,LK k32/d6/b32,0.0,0.0017925549996107293,1.003402438675091,
benchmark/small,berlin52,52,LK k48/d10/b32,0.0,0.0015107780000107596,1.0056517538491074,
benchmark/large,berlin52,52,LK k48/d10/b32,0.0,0.0018695849998948688,1.0055846963209243,
benchmark/small,berlin52,52,construct_fis,17.369398037655795,2.6495999918552116e-05,1.1736233946567567,
benchmark/large,berlin52,52,construct_fis,17.369398037655795,2.920399992945022e-05,1.1736233946567567,
benchmark/small,berlin52,52,fis_chain_greedy_handwritten,0.0,0.0012496670001382881,1.0045630520778273,
benchmark/large,berlin52,52,fis_chain_greedy_handwritten,0.0,0.0017320199999630859,1.0043647180736544,
benchmark/small,berlin52,52,fis_construct_lk,0.0,0.0012809059999199235,1.0086753491775193,
benchmark/large,berlin52,52,fis_construct_lk,0.0,0.0017761999997674138,1.0084547624587679,
benchmark/small,berlin52,52,fis_effort_greedy_handwritten,0.0,0.0012621140003830078,1.0060098374959503,
benchmark/large,berlin52,52,fis_effort_greedy_handwritten,0.0,0.0017409399997632136,1.005887548748728,
